Time,Capacity
2021-06-14 17:45:06,21
2021-06-14 17:50:06,21
2021-06-14 17:55:08,21
2021-06-14 18:00:08,21
2021-06-14 18:05:07,21
2021-06-14 18:10:08,21
2021-06-14 18:15:11,21
2021-06-14 18:20:09,21
2021-06-14 18:25:10,21
2021-06-14 18:30:10,21
2021-06-14 18:35:09,21
2021-06-14 18:40:10,21
2021-06-14 18:45:10,21
2021-06-14 18:50:10,21
2021-06-14 18:55:10,21
2021-06-14 19:00:09,21
2021-06-14 19:05:10,21
2021-06-14 19:10:09,21
2021-06-14 19:15:12,21
2021-06-14 19:20:09,21
2021-06-14 19:25:09,21
2021-06-14 19:30:11,21
2021-06-14 19:35:10,81
2021-06-14 19:40:10,76
2021-06-14 19:45:10,77
2021-06-14 19:50:14,73
2021-06-14 19:55:11,76
2021-06-14 20:00:10,74
2021-06-14 20:05:10,70
2021-06-14 20:10:10,68
2021-06-14 20:15:10,58
2021-06-14 20:20:09,52
2021-06-14 20:25:08,50
2021-06-14 20:30:07,47
2021-06-14 20:35:09,47
2021-06-14 20:40:09,43
2021-06-14 20:45:07,43
2021-06-14 20:50:05,42
2021-06-14 20:55:10,39
2021-06-14 21:00:08,43
2021-06-14 21:05:08,42
2021-06-14 21:10:09,42
2021-06-14 21:15:08,40
2021-06-14 21:20:06,40
2021-06-14 21:25:09,39
2021-06-14 21:30:08,40
2021-06-14 21:35:07,38
2021-06-14 21:40:07,33
2021-06-14 21:45:07,33
2021-06-14 21:50:06,33
2021-06-14 21:55:06,30
2021-06-14 22:00:05,31
2021-06-14 22:05:05,31
2021-06-14 22:10:08,30
2021-06-14 22:15:07,32
2021-06-14 22:20:07,32
2021-06-14 22:25:08,30
2021-06-14 22:30:08,30
2021-06-14 22:35:07,30
2021-06-14 22:40:08,29
2021-06-14 22:45:07,29
2021-06-14 22:50:07,25
2021-06-14 22:55:06,24
2021-06-14 23:00:08,21
2021-06-14 23:05:06,22
2021-06-14 23:10:08,20
2021-06-14 23:15:06,19
2021-06-14 23:20:07,17
2021-06-14 23:25:05,17
2021-06-14 23:30:04,19
2021-06-14 23:35:07,16
2021-06-14 23:40:07,14
2021-06-14 23:45:06,14
2021-06-14 23:50:04,10
2021-06-14 23:55:06,10
2021-06-15 0:00:09,10
2021-06-15 0:05:04,9
2021-06-15 0:10:04,9
2021-06-15 0:15:05,10
2021-06-15 0:20:04,9
2021-06-15 0:25:03,9
2021-06-15 0:30:06,8
2021-06-15 0:35:06,6
2021-06-15 0:40:09,6
2021-06-15 0:45:07,6
2021-06-15 0:50:21,5
2021-06-15 0:55:08,5
2021-06-15 1:00:07,5
2021-06-15 1:05:07,4
2021-06-15 1:10:08,4
2021-06-15 1:15:08,3
2021-06-15 1:20:07,3
2021-06-15 1:25:08,3
2021-06-15 1:30:05,3
2021-06-15 1:35:07,4
2021-06-15 1:40:08,4
2021-06-15 1:45:09,4
2021-06-15 1:50:07,4
2021-06-15 1:55:07,5
2021-06-15 2:00:04,5
2021-06-15 2:05:06,5
2021-06-15 2:10:07,5
2021-06-15 2:15:05,5
